Geography,Total Estimate,Total Margin of Error,Estimate - 12 00 a.m. to 4 59 a.m.,Margin of Error - 12 00 a.m. to 4 59 a.m.,Estimate - 5 00 a.m. to 5 29 a.m.,Margin of Error - 5 00 a.m. to 5 29 a.m.,Estimate - 5 30 a.m. to 5 59 a.m.,Margin of Error - 5 30 a.m. to 5 59 a.m.,Estimate - 6 00 a.m. to 6 29 a.m.,Margin of Error - 6 00 a.m. to 6 29 a.m.,Estimate - 6 30 a.m. to 6 59 a.m.,Margin of Error - 6 30 a.m. to 6 59 a.m.,Estimate - 7 00 a.m. to 7 29 a.m.,Margin of Error - 7 00 a.m. to 7 29 a.m.,Estimate - 7 30 a.m. to 7 59 a.m.,Margin of Error - 7 30 a.m. to 7 59 a.m.,Estimate - 8 00 a.m. to 8 29 a.m.,Margin of Error - 8 00 a.m. to 8 29 a.m.,Estimate - 8 30 a.m. to 8 59 a.m.,Margin of Error - 8 30 a.m. to 8 59 a.m.,Estimate - 9 00 a.m. to 9 59 a.m.,Margin of Error - 9 00 a.m. to 9 59 a.m.,Estimate - 10 00 a.m. to 10 59 a.m.,Margin of Error - 10 00 a.m. to 10 59 a.m.,Estimate - 11 00 a.m. to 11 59 a.m.,Margin of Error - 11 00 a.m. to 11 59 a.m.,Estimate - 12 00 p.m. to 3 59 p.m.,Margin of Error - 12 00 p.m. to 3 59 p.m.,Estimate - 4 00 p.m. to 11 59 p.m.,Margin of Error - 4 00 p.m. to 11 59 p.m.,Block Group,Census Tract,County,State
1500000US250250918003,329,154,7,12,37,48,20,31,20,23,13,19,23,28,46,51,42,51,19,31,12,16,35,40,0,12,20,33,35,56,3,918,Suffolk County,Massachusetts
1500000US250250919001,526,164,0,12,0,12,30,48,68,66,29,43,75,50,32,38,145,94,0,12,74,69,0,12,0,12,27,31,46,48,1,919,Suffolk County,Massachusetts
1500000US250250919002,360,133,0,12,38,41,0,12,40,47,75,61,77,69,3,14,24,38,11,17,0,12,0,12,0,12,77,55,15,25,2,919,Suffolk County,Massachusetts
1500000US250250919003,593,176,30,34,62,57,56,58,70,53,45,43,111,64,25,30,0,12,0,12,52,51,7,13,7,12,89,58,39,46,3,919,Suffolk County,Massachusetts
1500000US250250919004,294,118,19,32,14,17,40,56,55,74,55,37,21,24,34,40,10,15,25,29,10,16,11,18,0,12,0,12,0,12,4,919,Suffolk County,Massachusetts
1500000US250250920001,775,194,67,71,15,25,118,81,24,22,55,48,149,82,10,15,39,35,25,27,143,98,26,40,39,56,43,55,22,26,1,920,Suffolk County,Massachusetts
1500000US250250920002,708,188,0,12,72,68,48,52,78,57,53,40,43,42,21,33,123,65,0,12,79,52,14,24,34,55,96,68,47,48,2,920,Suffolk County,Massachusetts
1500000US250250920003,326,170,23,25,0,12,20,23,45,53,63,99,54,50,0,12,10,17,0,12,45,48,45,40,0,12,21,25,0,12,3,920,Suffolk County,Massachusetts
1500000US250250920004,570,199,29,35,25,41,32,43,42,42,74,45,72,48,66,58,30,31,0,12,11,17,10,17,13,20,72,59,94,70,4,920,Suffolk County,Massachusetts
1500000US250250921011,398,278,0,12,0,12,0,12,116,117,24,40,125,114,0,12,18,29,59,72,31,51,25,36,0,12,0,12,0,12,1,921.01,Suffolk County,Massachusetts
1500000US250250921012,513,296,0,12,11,20,12,20,74,79,98,87,66,56,18,26,127,151,0,12,45,54,0,12,0,12,58,58,4,8,2,921.01,Suffolk County,Massachusetts
1500000US250250921013,624,268,0,12,101,104,16,26,94,96,40,67,41,52,167,139,40,53,20,41,64,85,0,12,0,12,12,20,29,46,3,921.01,Suffolk County,Massachusetts
1500000US250250921014,619,317,60,65,77,73,10,24,60,50,68,74,74,87,0,12,12,24,37,59,0,12,76,81,26,42,100,125,19,36,4,921.01,Suffolk County,Massachusetts
1500000US250250921015,1621,613,19,24,28,40,116,105,135,126,132,99,300,202,137,121,109,79,86,103,168,130,12,22,45,52,194,154,140,113,5,921.01,Suffolk County,Massachusetts
1500000US250250922001,582,181,23,36,0,12,10,15,44,35,50,45,82,52,64,48,57,43,82,84,59,52,27,41,0,12,38,31,46,39,1,922,Suffolk County,Massachusetts
1500000US250250922002,429,220,0,12,44,55,0,12,76,74,46,48,62,75,42,54,45,56,9,13,0,12,0,12,17,19,51,39,37,32,2,922,Suffolk County,Massachusetts
1500000US250250922003,452,184,15,28,13,18,0,12,11,20,41,48,82,55,122,79,20,31,29,35,10,12,11,21,0,12,52,57,46,62,3,922,Suffolk County,Massachusetts
1500000US250250922004,164,72,0,12,0,12,10,16,4,8,7,11,49,48,0,12,5,9,53,36,17,25,0,12,0,12,0,12,19,30,4,922,Suffolk County,Massachusetts
1500000US250250923001,364,127,38,39,7,11,0,12,31,34,0,12,55,47,60,44,40,37,21,22,49,37,9,13,0,12,28,25,26,24,1,923,Suffolk County,Massachusetts
1500000US250250923002,290,86,27,29,27,23,0,12,0,12,22,24,73,42,31,27,0,12,13,14,0,12,15,15,25,23,7,10,50,41,2,923,Suffolk County,Massachusetts
1500000US250250923003,617,164,24,27,63,59,13,21,106,53,41,37,60,47,43,40,39,34,0,12,86,59,15,24,24,29,49,36,54,42,3,923,Suffolk County,Massachusetts
1500000US250250923004,257,100,16,24,30,28,0,12,12,14,0,12,67,41,22,29,15,23,15,23,16,25,0,12,0,12,37,24,27,32,4,923,Suffolk County,Massachusetts
1500000US250250924001,258,162,0,12,33,53,0,12,17,55,17,28,24,41,0,12,0,12,43,67,52,43,0,12,0,12,15,25,57,67,1,924,Suffolk County,Massachusetts
1500000US250250924002,389,171,60,84,56,68,65,68,25,40,0,12,0,12,55,72,5,15,0,12,15,34,0,12,0,12,108,122,0,12,2,924,Suffolk County,Massachusetts
1500000US250250924003,827,328,0,12,0,12,0,12,70,80,0,12,159,111,95,81,183,137,67,76,77,96,35,57,47,56,94,95,0,12,3,924,Suffolk County,Massachusetts
1500000US250250924004,421,175,14,24,29,47,34,49,14,23,117,111,83,92,0,12,30,36,0,12,22,37,0,12,15,26,63,63,0,12,4,924,Suffolk County,Massachusetts
1500000US250250924005,200,100,0,12,0,12,0,12,34,55,22,41,19,29,0,12,31,53,0,12,0,12,0,12,0,12,37,39,57,63,5,924,Suffolk County,Massachusetts
1500000US250251001001,151,98,0,12,0,12,8,15,0,12,7,14,7,12,49,43,23,34,8,17,22,36,27,41,0,12,0,12,0,12,1,1001,Suffolk County,Massachusetts
1500000US250251001002,791,275,0,12,39,47,18,19,73,76,21,34,165,122,45,50,160,82,48,44,21,32,0,12,24,40,89,61,88,60,2,1001,Suffolk County,Massachusetts
1500000US250251001003,584,162,9,16,54,49,40,38,85,67,12,18,84,71,33,36,94,48,64,60,40,47,0,12,24,36,22,32,23,36,3,1001,Suffolk County,Massachusetts
1500000US250251001004,345,158,73,68,0,12,0,12,39,47,25,35,34,43,44,45,29,29,9,14,24,34,26,34,0,12,42,43,0,12,4,1001,Suffolk County,Massachusetts
1500000US250251001005,172,111,22,24,11,18,13,22,37,41,9,15,0,12,16,25,11,20,0,12,43,41,0,12,0,12,10,16,0,12,5,1001,Suffolk County,Massachusetts
1500000US250251001006,444,148,0,12,23,37,25,31,56,53,24,39,61,50,21,34,16,26,46,52,19,29,32,42,0,12,55,71,66,56,6,1001,Suffolk County,Massachusetts
1500000US250251001007,224,89,0,12,0,12,19,17,22,34,0,12,62,42,0,12,10,17,13,21,10,16,0,12,8,13,14,23,66,41,7,1001,Suffolk County,Massachusetts
1500000US250251002001,509,121,40,35,25,27,28,26,33,31,19,24,63,45,16,15,63,38,39,30,19,21,4,6,0,12,74,49,86,52,1,1002,Suffolk County,Massachusetts
1500000US250251002002,222,88,10,15,16,21,11,15,22,25,33,29,10,17,14,21,0,12,20,24,12,19,17,26,0,12,38,31,19,23,2,1002,Suffolk County,Massachusetts
1500000US250251002003,510,131,3,6,32,26,23,23,50,41,47,32,90,50,55,36,50,35,22,22,18,25,11,17,0,12,69,48,40,38,3,1002,Suffolk County,Massachusetts
1500000US250251003001,787,340,85,105,18,27,0,12,62,56,0,12,115,107,45,42,141,114,0,12,0,12,0,12,20,31,151,87,150,101,1,1003,Suffolk County,Massachusetts
1500000US250251003002,471,141,0,12,29,31,21,33,65,57,11,17,37,40,60,50,26,27,25,34,30,35,42,39,6,9,61,36,58,61,2,1003,Suffolk County,Massachusetts
1500000US250251003003,284,99,0,12,25,33,0,12,118,71,0,12,15,19,33,40,44,41,0,12,18,24,10,19,0,12,0,12,21,25,3,1003,Suffolk County,Massachusetts
1500000US250251003004,425,176,0,12,81,97,0,12,105,63,60,58,55,44,0,12,28,31,0,12,15,25,0,12,18,26,14,23,49,38,4,1003,Suffolk County,Massachusetts
1500000US250251004001,742,283,0,12,0,12,0,12,127,98,20,34,79,69,136,100,154,89,24,27,26,28,0,12,45,46,131,102,0,12,1,1004,Suffolk County,Massachusetts
1500000US250251004002,680,307,47,71,2,6,58,56,165,114,41,48,98,74,120,100,10,58,16,18,15,23,0,12,0,12,54,73,54,58,2,1004,Suffolk County,Massachusetts
1500000US250251004003,478,195,0,12,29,44,105,91,36,44,43,48,41,38,40,60,22,25,0,12,12,25,0,12,0,12,131,88,19,31,3,1004,Suffolk County,Massachusetts
1500000US250251004004,872,275,0,12,0,12,104,80,81,66,131,86,52,59,80,78,110,84,28,46,93,80,27,43,0,12,58,59,108,73,4,1004,Suffolk County,Massachusetts
1500000US250251005001,534,308,48,71,27,34,0,12,12,24,0,12,18,58,36,34,67,64,127,97,25,40,28,44,0,12,59,71,87,96,1,1005,Suffolk County,Massachusetts
1500000US250251005002,742,231,0,12,17,27,87,87,60,75,71,72,132,110,74,51,70,81,40,62,52,63,39,42,0,12,34,48,66,64,2,1005,Suffolk County,Massachusetts
1500000US250251005003,483,246,17,27,0,12,28,34,30,49,54,71,20,32,107,125,106,80,17,26,38,53,15,28,0,12,35,41,16,28,3,1005,Suffolk County,Massachusetts
1500000US250251005004,917,454,196,158,65,99,36,58,131,140,0,12,136,162,15,24,98,93,30,44,0,12,59,91,0,12,126,103,25,43,4,1005,Suffolk County,Massachusetts
1500000US250251005005,684,334,0,12,46,54,0,12,151,106,62,60,143,118,83,95,61,59,58,74,16,25,33,53,0,12,0,12,31,52,5,1005,Suffolk County,Massachusetts
1500000US250251006011,507,219,42,50,43,40,44,71,48,45,101,88,0,12,90,90,24,50,44,46,24,52,0,12,0,12,0,12,47,56,1,1006.01,Suffolk County,Massachusetts
1500000US250251006012,585,277,0,12,39,62,28,47,101,99,152,165,26,29,43,41,46,53,47,51,0,12,0,12,64,94,0,12,39,60,2,1006.01,Suffolk County,Massachusetts
1500000US250251006013,1080,367,40,67,0,12,170,151,181,132,74,72,0,12,98,119,180,140,84,110,91,114,0,12,65,95,97,105,0,12,3,1006.01,Suffolk County,Massachusetts
1500000US250251006014,1183,317,62,68,13,22,12,19,100,79,45,44,92,76,100,104,386,231,78,96,41,40,74,72,5,14,125,91,50,69,4,1006.01,Suffolk County,Massachusetts
1500000US250251006031,917,182,70,69,31,28,11,12,57,38,90,53,69,51,86,44,203,84,66,81,114,59,18,20,0,12,68,54,34,35,1,1006.03,Suffolk County,Massachusetts
1500000US250251006032,470,127,24,22,0,12,41,45,7,10,86,55,47,38,121,66,69,55,0,12,24,32,13,15,0,12,37,39,1,2,2,1006.03,Suffolk County,Massachusetts
1500000US250251007001,461,130,8,13,0,12,39,33,97,71,27,32,86,66,22,23,106,66,23,37,23,37,0,12,0,12,22,24,8,13,1,1007,Suffolk County,Massachusetts
1500000US250251007002,418,147,0,12,0,12,44,37,48,40,34,42,63,52,35,40,66,56,44,41,30,38,0,12,0,12,24,39,30,28,2,1007,Suffolk County,Massachusetts
1500000US250251007003,412,162,53,64,0,12,33,50,21,25,76,80,79,60,13,21,49,53,20,26,36,36,0,12,0,12,0,12,32,34,3,1007,Suffolk County,Massachusetts
1500000US250251007004,552,177,36,43,22,26,30,22,60,48,83,94,91,52,35,38,76,59,31,28,63,52,0,12,11,17,0,12,14,22,4,1007,Suffolk County,Massachusetts
1500000US250251007005,457,184,7,12,0,12,54,72,47,39,52,55,95,73,40,31,54,54,0,12,0,12,0,12,0,12,103,119,5,8,5,1007,Suffolk County,Massachusetts
1500000US250251008001,420,327,0,12,0,12,16,28,13,21,23,26,86,98,122,98,26,44,0,12,0,12,0,12,0,12,90,128,44,71,1,1008,Suffolk County,Massachusetts
1500000US250251008002,350,116,0,12,0,12,0,12,57,43,57,49,95,79,14,25,40,49,0,12,11,18,13,28,0,12,45,73,18,27,2,1008,Suffolk County,Massachusetts
1500000US250251008003,535,212,31,50,0,12,57,66,29,41,67,70,79,95,37,57,84,82,52,71,51,53,10,18,0,12,13,23,25,33,3,1008,Suffolk County,Massachusetts
1500000US250251008004,1050,473,40,61,142,163,0,12,96,115,57,62,166,138,130,83,105,84,15,24,70,74,20,34,18,29,134,164,57,51,4,1008,Suffolk County,Massachusetts
1500000US250251008005,403,224,0,12,0,12,118,99,10,17,74,91,13,22,39,58,39,53,58,88,15,24,0,12,0,12,24,26,13,20,5,1008,Suffolk County,Massachusetts
1500000US250251008006,825,273,84,119,0,12,0,12,82,85,46,80,162,100,155,98,89,76,52,88,0,12,0,12,9,16,134,139,12,22,6,1008,Suffolk County,Massachusetts
1500000US250251009001,321,143,0,12,37,48,21,35,32,30,0,12,31,36,59,40,76,43,9,15,0,12,22,34,0,12,34,33,0,12,1,1009,Suffolk County,Massachusetts
1500000US250251009002,425,212,0,12,22,36,65,103,33,42,21,27,65,63,51,41,18,19,64,73,47,65,0,12,9,15,22,35,8,13,2,1009,Suffolk County,Massachusetts
1500000US250251009003,551,156,41,38,0,12,10,15,27,25,84,54,51,36,82,50,110,55,29,35,24,27,7,10,0,12,59,58,27,25,3,1009,Suffolk County,Massachusetts
1500000US250251009004,353,204,30,36,14,22,0,12,35,41,0,12,15,22,50,81,0,12,26,33,9,14,29,42,0,12,124,143,21,33,4,1009,Suffolk County,Massachusetts
1500000US250251009005,552,191,0,12,0,12,29,36,46,51,49,34,52,41,113,91,42,44,10,16,32,40,0,12,29,46,142,108,8,13,5,1009,Suffolk County,Massachusetts
1500000US250251010011,241,124,0,12,0,12,33,54,66,63,23,36,73,73,0,12,17,30,0,12,29,49,0,12,0,12,0,12,0,12,1,1010.01,Suffolk County,Massachusetts
1500000US250251010012,374,159,0,12,0,12,73,91,80,79,0,12,61,71,92,67,0,12,0,12,0,12,0,12,28,49,0,12,40,67,2,1010.01,Suffolk County,Massachusetts
1500000US250251010013,261,175,0,12,0,12,98,102,37,43,91,88,14,32,0,12,0,12,0,12,0,12,21,35,0,12,0,12,0,12,3,1010.01,Suffolk County,Massachusetts
1500000US250251010014,620,316,0,12,88,111,0,12,40,64,15,23,0,12,55,61,157,128,15,25,0,12,0,12,0,12,148,133,102,112,4,1010.01,Suffolk County,Massachusetts
1500000US250251010015,391,191,0,12,0,12,0,12,23,36,66,81,57,71,37,55,17,26,13,24,33,39,0,12,0,12,120,100,25,38,5,1010.01,Suffolk County,Massachusetts
1500000US250251010016,1094,616,47,60,119,106,120,146,193,188,184,225,207,254,86,81,13,26,0,12,0,12,34,55,0,12,45,52,46,74,6,1010.01,Suffolk County,Massachusetts
1500000US250251010021,329,140,0,12,0,12,0,12,12,34,18,31,113,79,69,66,25,39,0,12,45,41,0,12,0,12,47,57,0,12,1,1010.02,Suffolk County,Massachusetts
1500000US250251010022,1101,304,21,44,59,55,27,43,131,104,250,168,15,25,278,142,141,112,37,60,0,12,46,63,12,20,59,58,25,41,2,1010.02,Suffolk County,Massachusetts
1500000US250251010023,1326,299,82,90,27,41,50,48,256,155,89,77,206,122,40,40,145,103,44,52,51,79,12,21,66,92,258,180,0,12,3,1010.02,Suffolk County,Massachusetts
1500000US250251011011,420,139,14,21,0,12,18,15,65,55,16,18,96,73,19,20,25,38,9,13,48,35,0,12,51,46,11,17,48,41,1,1011.01,Suffolk County,Massachusetts
1500000US250251011012,576,190,57,90,12,19,43,49,44,35,17,28,14,22,58,70,96,65,57,55,8,12,38,41,0,12,114,62,18,28,2,1011.01,Suffolk County,Massachusetts
1500000US250251011013,745,209,98,62,28,37,85,61,55,47,51,43,41,41,110,61,37,41,40,51,56,53,0,12,0,12,63,53,81,62,3,1011.01,Suffolk County,Massachusetts
1500000US250251011021,409,187,69,86,8,13,0,12,40,45,25,36,24,28,58,51,24,38,18,29,0,12,0,12,14,21,71,61,58,46,1,1011.02,Suffolk County,Massachusetts
1500000US250251011022,716,197,59,47,50,61,0,12,170,112,111,74,125,68,39,31,41,41,12,19,32,33,17,28,0,12,53,46,7,13,2,1011.02,Suffolk County,Massachusetts
1500000US250251011023,421,156,23,37,0,12,21,27,63,63,66,59,72,59,54,43,0,12,0,12,11,19,0,12,16,28,66,55,29,37,3,1011.02,Suffolk County,Massachusetts
1500000US250251011024,597,251,43,41,12,20,0,12,14,22,67,56,165,128,105,71,32,30,0,12,16,23,0,12,0,12,123,89,20,26,4,1011.02,Suffolk County,Massachusetts
1500000US250251101031,482,210,52,79,0,12,50,75,67,57,26,44,55,63,78,71,70,57,0,12,25,42,10,17,0,12,26,42,23,32,1,1101.03,Suffolk County,Massachusetts
1500000US250251101032,241,177,31,48,0,12,24,42,14,22,34,52,0,12,33,38,31,48,11,19,13,24,0,12,10,18,30,48,10,16,2,1101.03,Suffolk County,Massachusetts
1500000US250251101033,110,77,0,12,0,12,0,12,23,25,0,12,0,12,29,43,11,19,5,11,7,14,0,12,0,12,0,12,35,54,3,1101.03,Suffolk County,Massachusetts
1500000US250251101034,360,195,55,82,0,12,0,12,20,31,0,12,52,73,14,21,64,62,19,25,49,51,0,12,0,12,0,12,87,117,4,1101.03,Suffolk County,Massachusetts
1500000US250251101035,1171,394,61,51,57,89,9,15,31,38,50,54,171,154,146,95,57,53,187,209,124,89,0,12,66,105,69,55,143,131,5,1101.03,Suffolk County,Massachusetts
1500000US250251101036,354,143,0,12,0,12,10,18,0,12,47,48,106,117,0,12,98,64,0,12,50,63,17,28,26,37,0,12,0,12,6,1101.03,Suffolk County,Massachusetts
1500000US250251101037,612,357,0,12,126,173,0,12,0,12,0,12,82,76,0,12,60,51,0,12,0,12,97,96,0,12,40,55,207,215,7,1101.03,Suffolk County,Massachusetts
1500000US250251102011,1194,151,55,45,34,29,71,52,85,36,110,60,82,49,165,88,111,52,12,19,69,41,50,40,23,22,186,66,141,76,1,1102.01,Suffolk County,Massachusetts
1500000US250251103011,695,191,17,18,18,19,16,18,55,38,102,46,105,92,66,40,149,114,35,26,35,32,35,27,0,12,39,37,23,20,1,1103.01,Suffolk County,Massachusetts
1500000US250251103012,811,115,39,44,12,21,22,19,88,40,46,31,193,58,95,40,132,53,33,24,54,29,7,10,0,12,58,36,32,28,2,1103.01,Suffolk County,Massachusetts
1500000US250251104011,730,180,0,12,23,20,0,12,105,69,52,62,122,73,42,40,150,109,87,63,36,30,31,30,8,13,12,20,62,78,1,1104.01,Suffolk County,Massachusetts
1500000US250251104012,1237,273,57,82,63,58,118,91,62,57,42,37,161,87,156,101,142,74,72,59,118,62,6,11,44,69,61,44,135,90,2,1104.01,Suffolk County,Massachusetts
1500000US250251104031,581,210,0,12,0,12,0,12,0,12,19,22,119,106,66,55,129,98,20,23,55,47,54,55,0,12,63,78,56,57,1,1104.03,Suffolk County,Massachusetts
1500000US250251104032,548,227,0,12,0,12,10,18,85,95,46,73,8,13,67,67,62,42,48,58,128,64,24,35,18,23,44,48,8,13,2,1104.03,Suffolk County,Massachusetts
1500000US250251104033,245,91,14,25,0,12,0,12,9,15,23,27,9,15,67,68,8,12,20,26,51,58,0,12,0,12,18,26,26,38,3,1104.03,Suffolk County,Massachusetts
1500000US250251104034,621,173,10,16,35,25,8,14,45,40,87,55,48,34,0,12,116,58,63,54,60,42,0,12,68,63,22,24,59,40,4,1104.03,Suffolk County,Massachusetts
1500000US250251104035,490,169,18,27,25,29,0,12,92,77,60,45,55,45,48,39,30,34,29,33,41,42,47,51,0,12,35,43,10,16,5,1104.03,Suffolk County,Massachusetts
1500000US250251105011,528,158,6,11,31,36,13,19,51,45,45,47,141,96,68,58,49,39,8,13,23,25,35,42,6,11,36,46,16,26,1,1105.01,Suffolk County,Massachusetts
1500000US250251105012,832,163,8,13,58,34,0,12,105,53,68,59,154,84,110,62,172,79,84,45,31,25,30,46,0,12,0,12,12,20,2,1105.01,Suffolk County,Massachusetts
1500000US250251105013,584,140,12,18,12,19,27,26,40,30,33,28,85,72,60,39,128,89,17,21,0,12,24,32,0,12,121,102,25,39,3,1105.01,Suffolk County,Massachusetts
1500000US250251105021,1101,309,43,54,17,20,119,92,124,64,146,96,186,89,83,67,105,71,56,71,63,65,43,54,11,17,77,56,28,34,1,1105.02,Suffolk County,Massachusetts
1500000US250251105022,1357,298,70,51,52,61,156,165,197,118,130,83,218,83,102,57,179,99,47,44,119,70,16,25,26,37,34,30,11,21,2,1105.02,Suffolk County,Massachusetts
1500000US250251105023,314,123,0,12,13,22,0,12,10,16,0,12,95,62,83,60,11,17,10,17,41,39,0,12,0,12,13,21,38,38,3,1105.02,Suffolk County,Massachusetts
1500000US250251106011,729,142,22,27,35,23,0,12,83,56,52,35,159,64,159,55,104,58,34,32,28,28,8,12,30,28,9,15,6,10,1,1106.01,Suffolk County,Massachusetts
1500000US250251106012,509,107,0,12,0,12,7,11,24,25,28,26,239,95,43,30,46,33,8,13,41,41,7,12,0,12,17,20,49,40,2,1106.01,Suffolk County,Massachusetts
1500000US250251106071,608,185,0,12,0,12,14,22,39,49,48,52,136,108,133,108,102,76,0,12,72,81,49,55,0,12,0,12,15,25,1,1106.07,Suffolk County,Massachusetts
1500000US250251106072,846,222,49,58,43,69,77,97,0,12,44,40,146,90,157,90,217,126,21,32,40,39,0,12,0,12,37,26,15,25,2,1106.07,Suffolk County,Massachusetts
1500000US250251106073,1096,289,0,12,0,12,0,12,37,59,2,4,147,75,264,152,297,159,46,43,149,120,17,27,0,12,97,92,40,44,3,1106.07,Suffolk County,Massachusetts
1500000US250251106074,419,106,0,12,13,23,32,37,0,12,13,22,39,40,96,81,87,59,17,26,37,42,17,28,13,22,16,26,39,46,4,1106.07,Suffolk County,Massachusetts
1500000US250251201031,944,98,15,17,5,8,26,23,57,33,70,32,52,28,129,52,238,56,130,52,106,48,28,23,7,10,39,23,42,34,1,1201.03,Suffolk County,Massachusetts
1500000US250251201041,354,130,0,12,0,12,0,12,16,22,31,47,24,28,91,52,31,30,55,35,50,37,0,12,11,19,36,32,9,13,1,1201.04,Suffolk County,Massachusetts
1500000US250251201042,398,105,0,12,0,12,0,12,81,52,27,29,68,39,35,29,62,52,18,20,72,53,0,12,0,12,25,26,10,19,2,1201.04,Suffolk County,Massachusetts
1500000US250251201043,619,123,0,12,21,24,0,12,60,41,41,26,45,46,87,60,272,108,42,35,28,27,0,12,0,12,18,17,5,12,3,1201.04,Suffolk County,Massachusetts
1500000US250251201051,463,244,0,12,0,12,0,12,40,32,0,12,72,36,69,41,105,44,59,40,22,35,14,26,0,12,49,56,33,53,1,1201.05,Suffolk County,Massachusetts
1500000US250251201052,493,93,12,13,0,12,10,15,39,24,27,26,49,28,95,45,94,42,83,41,50,28,20,22,0,12,14,16,0,12,2,1201.05,Suffolk County,Massachusetts
1500000US250251201053,242,72,0,12,0,12,4,6,33,33,7,10,10,14,58,29,40,35,17,13,54,32,0,12,3,5,8,12,8,9,3,1201.05,Suffolk County,Massachusetts
1500000US250251202011,798,168,6,9,16,17,0,12,60,44,111,71,150,75,91,58,140,61,64,48,49,32,43,43,13,16,46,50,9,14,1,1202.01,Suffolk County,Massachusetts
1500000US250251202012,1216,197,8,12,0,12,21,24,123,81,94,57,349,133,163,88,204,89,57,36,35,36,42,37,18,23,63,44,39,32,2,1202.01,Suffolk County,Massachusetts
1500000US250251202013,256,102,0,12,0,12,0,12,10,16,33,25,48,42,93,65,23,23,7,10,35,34,0,12,0,12,7,11,0,12,3,1202.01,Suffolk County,Massachusetts
1500000US250251203011,865,265,45,54,0,12,0,12,31,28,71,47,141,102,30,26,197,114,131,107,143,87,9,15,0,12,67,89,0,12,1,1203.01,Suffolk County,Massachusetts
1500000US250251203012,686,191,0,12,38,47,0,12,0,12,63,55,125,85,56,43,141,80,26,29,157,108,8,13,0,12,46,54,26,33,2,1203.01,Suffolk County,Massachusetts
1500000US250251203013,711,185,0,12,18,22,0,12,0,12,39,32,112,66,57,43,162,78,102,72,72,45,58,60,22,25,37,33,32,36,3,1203.01,Suffolk County,Massachusetts
1500000US250251203014,740,171,0,12,44,52,16,24,43,36,67,37,62,50,26,27,184,81,90,56,70,45,76,75,14,19,38,40,10,15,4,1203.01,Suffolk County,Massachusetts
1500000US250251204001,547,238,0,12,0,12,0,12,0,12,86,63,18,30,83,107,267,152,0,12,26,28,26,29,0,12,41,47,0,12,1,1204,Suffolk County,Massachusetts
1500000US250251204002,523,177,0,12,0,12,0,12,0,12,124,74,32,46,55,66,26,41,106,89,71,87,56,72,15,28,23,23,15,24,2,1204,Suffolk County,Massachusetts
1500000US250251204003,919,494,0,12,0,12,0,12,33,58,68,59,178,128,54,49,207,151,229,259,94,96,0,12,0,12,50,61,6,12,3,1204,Suffolk County,Massachusetts
1500000US250251204004,1005,395,17,29,0,12,85,102,48,44,271,180,98,59,172,140,137,75,49,45,78,59,11,18,0,12,14,22,25,40,4,1204,Suffolk County,Massachusetts
1500000US250251204005,744,205,0,12,0,12,0,12,13,23,116,96,135,87,58,51,142,108,109,83,121,72,0,12,16,27,20,33,14,22,5,1204,Suffolk County,Massachusetts
1500000US250251205001,470,158,0,12,7,11,3,5,18,22,6,9,65,28,77,54,180,124,17,16,60,40,0,12,4,6,27,25,6,10,1,1205,Suffolk County,Massachusetts
1500000US250251205002,615,175,16,29,16,27,11,13,12,13,59,43,35,28,105,53,158,72,40,26,70,47,5,8,22,26,44,49,22,34,2,1205,Suffolk County,Massachusetts
1500000US250251205003,496,119,4,6,5,10,0,12,31,25,46,32,52,48,27,20,49,36,27,21,123,54,20,21,0,12,77,46,35,24,3,1205,Suffolk County,Massachusetts
1500000US250251206001,579,155,0,12,7,12,0,12,37,46,41,35,101,86,92,57,90,50,65,45,71,57,10,15,0,12,48,44,17,15,1,1206,Suffolk County,Massachusetts
1500000US250251206002,496,105,0,12,11,17,0,12,20,22,62,37,97,46,42,26,133,73,62,40,34,26,18,20,0,12,12,15,5,8,2,1206,Suffolk County,Massachusetts
1500000US250251206003,609,178,0,12,0,12,7,10,27,26,12,20,81,79,99,54,144,64,44,41,39,39,5,8,14,15,107,100,30,37,3,1206,Suffolk County,Massachusetts
1500000US250251207001,529,122,8,12,0,12,28,25,22,17,62,46,65,49,78,42,109,45,52,28,35,26,8,12,5,9,45,31,12,13,1,1207,Suffolk County,Massachusetts
1500000US250251207002,745,124,0,12,0,12,13,15,41,34,36,22,144,74,87,54,141,51,100,46,76,35,40,25,6,9,15,14,46,38,2,1207,Suffolk County,Massachusetts
1500000US250251301001,409,152,0,12,0,12,21,34,22,33,62,68,81,57,55,62,129,87,0,12,0,12,22,32,17,27,0,12,0,12,1,1301,Suffolk County,Massachusetts
1500000US250251301002,1032,290,0,12,13,23,0,12,0,12,132,92,353,190,27,41,205,150,169,99,70,68,11,19,0,12,42,47,10,17,2,1301,Suffolk County,Massachusetts
1500000US250251301003,445,235,16,26,0,12,0,12,0,12,28,45,108,126,70,71,38,42,81,75,22,33,0,12,0,12,82,86,0,12,3,1301,Suffolk County,Massachusetts
1500000US250251301004,312,178,0,12,15,26,0,12,49,76,37,59,18,28,44,55,53,50,46,75,37,58,0,12,0,12,0,12,13,22,4,1301,Suffolk County,Massachusetts
